,T(K),F(KG),U(mV),I(A)
"data(92,-0)",91.99435897435897,4.000000000000007e-05,0.0058028205128205146,-0.04999600000000006
"data(92,-1)",91.99661016949146,1.0000599999999993,0.0045872203389830495,-0.049996000000000033
"data(92,-2)",91.97479999999992,1.9999880000000017,0.004415790000000002,-0.04999600000000008
"data(92,-3)",92.0209722222222,3.0000039999999966,0.00522725,-0.049996000000000054
"data(92,-4)",91.95640000000003,3.999956999999996,0.005329866666666665,-0.049996000000000054
"data(92,-5)",92.03695121951222,4.999980999999995,0.005688560975609756,-0.04999600000000007
"data(92,0)",91.96111111111105,4.0000000000000064e-05,0.006430285714285715,0.04999600000000004
"data(92,1)",91.98571428571434,1.000059999999999,0.006247301587301587,0.04999600000000004
"data(92,2)",92.0409333333334,1.9999880000000014,0.006301186666666666,0.04932940000000006
"data(92,3)",92.02423076923077,3.0000039999999992,0.0069074615384615385,0.04999600000000001
"data(92,4)",91.97682926829266,3.999956999999996,0.006894317073170732,0.04999600000000007
"data(92,5)",92.00352941176467,4.9999809999999965,0.007547941176470589,0.04999600000000001
"data(92.5,-0)",92.49464285714289,4.400000000000003e-05,0.004353517857142856,-0.04999600000000003
"data(92.5,-1)",92.50105263157896,0.9998689999999988,0.004570508771929826,-0.04999600000000003
"data(92.5,-2)",92.50163265306122,1.999967999999999,0.0045586734693877536,-0.049996000000000006
"data(92.5,-3)",92.49489795918366,2.999937,0.004930959183673471,-0.049996000000000006
"data(92.5,-4)",92.50163636363638,4.000006000000005,0.004427963636363636,-0.04999600000000002
"data(92.5,-5)",92.50139534883719,4.999958999999993,0.006116441860465116,-0.04999600000000007
"data(92.5,0)",92.50403508771934,4.400000000000003e-05,0.005981263157894737,0.04999600000000003
"data(92.5,1)",92.50137931034486,0.9998689999999988,0.006106862068965518,0.04999600000000003
"data(92.5,2)",92.49906250000001,1.9999679999999982,0.006415250000000002,0.04999600000000004
"data(92.5,3)",92.49531914893619,2.9999370000000005,0.006640978723404255,0.049996
"data(92.5,4)",92.49824000000001,4.0000059999999955,0.007578519999999999,0.049996000000000096
